"","Partido","agrotox","cartvdam","cons_mp","conv_interam_rac","correios","div_fundpart","dsil","eletrobras","fundeb_igrej","grilagem","imp_renda","improb_base","improb_dolo","improb_nep","ind.BC","jogazar","lib_san_bas","lic_amb","mineracao_votourg","minireftrab","pec.emg","posse_armas","precatorios","proib_desp_pand","refprev","sisteleit","sisteleit_col","sisteleit_dist","telecom","vot_imp"
"196358","UNIÃO","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim"
"204484","UNIÃO","Sim","Sim","Sim","Sim",NA,"Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim"
"178993","UNIÃO","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"178909","UNIÃO","Sim","Sim","Não","Sim",NA,"Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim",NA,NA,"Sim",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim"
"178836","UNIÃO","Sim","Sim","Não","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim",NA,"Sim","Sim",NA,"Não","Sim","Sim","Não","Não","Sim","Sim"
"74478","UNIÃO","Sim","Sim",NA,NA,NA,NA,"Sim","Sim",NA,NA,NA,NA,NA,NA,NA,"Sim",NA,NA,NA,"Sim",NA,NA,NA,"Não","Sim","Não","Não","Não",NA,"Não"
"160545","UNIÃO","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,NA,"Sim","Não"
"160532","UNIÃO","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim",NA,NA,"Sim","Não","Sim","Sim","Sim","Não","Sim","Não"
"164359","UNIÃO","Sim","Não","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não",NA,"Sim","Não","Sim","Não","Não","Não","Sim","Não"
"160639","UNIÃO","Sim","Sim",NA,"Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Não","Sim",NA,"Não","Sim","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Não","Sim","Não"
"141431","UNIÃO",NA,"Sim","Sim",NA,"Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,NA,"Não","Sim","Sim","Não","Não",NA,"Não"
"141513","UNIÃO",NA,"Sim","Não",NA,"Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim","Não","Sim","Não","Sim",NA
"141422","UNIÃO","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim",NA,NA,"Sim","Sim",NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não",NA,NA
"191945","UNIÃO",NA,NA,"Não",NA,NA,NA,NA,NA,NA,NA,"Sim",NA,"Sim","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178943","UNIÃO",NA,NA,"Sim",NA,"Sim","Não","Sim","Não",NA,"Sim","Não","Sim",NA,"Não","Sim","Não",NA,"Sim",NA,NA,"Sim",NA,NA,NA,NA,"Sim","Sim","Não","Sim","Sim"
"211649","UNIÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
